"game";"player";"color";"move";"turn";"timestamp"
2;"Alfons2357";"Black";"c6";2;"0:02:57"
2;"Alfons2357";"Black";"d5";4;"0:02:58"
2;"Alfons2357";"Black";"Bf5";6;"0:01:59"
2;"Alfons2357";"Black";"Qa5+";8;"0:01:57"
2;"Alfons2357";"Black";"Be4";10;"0:01:57"
2;"Alfons2357";"Black";"Bg6";12;"0:01:58"
2;"Alfons2357";"Black";"h5";14;"0:02:08"
2;"Alfons2357";"Black";"Nh6";16;"0:02:09"
2;"Alfons2357";"Black";"Bh7";18;"0:02:10"
2;"Alfons2357";"Black";"Nxf5";20;"0:02:10"
6;"Alfons2357";"Black";"d5";2;"0:04:08"
6;"Alfons2357";"Black";"Bf5";4;"0:04:12"
6;"Alfons2357";"Black";"Nf6";6;"0:04:14"
6;"Alfons2357";"Black";"Bxd3";8;"0:04:17"
6;"Alfons2357";"Black";"e6";10;"0:04:22"
6;"Alfons2357";"Black";"Nbd7";12;"0:04:23"
6;"Alfons2357";"Black";"a6";14;"0:04:25"
6;"Alfons2357";"Black";"c5";16;"0:04:27"
6;"Alfons2357";"Black";"Bxc5";18;"0:04:29"
6;"Alfons2357";"Black";"Bb4";20;"0:04:34"
7;"Alfons2357";"Black";"c6";2;"0:09:49"
7;"Alfons2357";"Black";"d5";4;"0:09:50"
7;"Alfons2357";"Black";"Bf5";6;"0:09:54"
7;"Alfons2357";"Black";"e6";8;"0:09:55"
7;"Alfons2357";"Black";"c5";10;"0:09:57"
7;"Alfons2357";"Black";"Nd7";12;"0:09:58"
7;"Alfons2357";"Black";"Bxb1";14;"0:04:39"
7;"Alfons2357";"Black";"Ne7";16;"0:04:44"
7;"Alfons2357";"Black";"Nc6";18;"0:04:45"
7;"Alfons2357";"Black";"Be7";20;"0:04:58"
10;"Alfons2357";"Black";"d5";2;"0:09:41"
10;"Alfons2357";"Black";"e5";4;"0:09:46"
10;"Alfons2357";"Black";"Bxc5";6;"0:09:48"
10;"Alfons2357";"Black";"Nf6";8;"0:09:51"
10;"Alfons2357";"Black";"Nc6";10;"0:09:55"
10;"Alfons2357";"Black";"e4";12;"0:09:56"
10;"Alfons2357";"Black";"Bg4";14;"0:09:57"
10;"Alfons2357";"Black";"Bd6";16;"0:02:55"
10;"Alfons2357";"Black";"Bf3";18;"0:02:58"
10;"Alfons2357";"Black";"Qd7";20;"0:03:18"
11;"Alfons2357";"Black";"c6";2;"0:08:09"
11;"Alfons2357";"Black";"d5";4;"0:08:17"
11;"Alfons2357";"Black";"cxd5";6;"0:08:34"
11;"Alfons2357";"Black";"Nc6";8;"0:08:48"
11;"Alfons2357";"Black";"Qb6";10;"0:09:11"
11;"Alfons2357";"Black";"Qa5+";12;"0:09:11"
11;"Alfons2357";"Black";"Qxd5";14;"0:09:29"
11;"Alfons2357";"Black";"Qe4+";16;"0:09:41"
11;"Alfons2357";"Black";"Nxd4";18;"0:09:44"
11;"Alfons2357";"Black";"Qxg2";20;"0:09:46"
13;"Alfons2357";"Black";"c6";2;"0:02:56"
13;"Alfons2357";"Black";"d5";4;"0:03:08"
13;"Alfons2357";"Black";"Bf5";6;"0:03:13"
13;"Alfons2357";"Black";"Bxd3";8;"0:04:23"
13;"Alfons2357";"Black";"Nd7";10;"0:04:24"
13;"Alfons2357";"Black";"e6";12;"0:04:27"
13;"Alfons2357";"Black";"Qc7";14;"0:04:28"
13;"Alfons2357";"Black";"Be7";16;"0:04:29"
13;"Alfons2357";"Black";"Bxg5";18;"0:04:30"
13;"Alfons2357";"Black";"Nb6";20;"0:04:38"
14;"Alfons2357";"Black";"c6";2;"0:08:19"
14;"Alfons2357";"Black";"d5";4;"0:08:22"
14;"Alfons2357";"Black";"e5";6;"0:08:32"
14;"Alfons2357";"Black";"dxe4";8;"0:08:33"
14;"Alfons2357";"Black";"g6";10;"0:09:04"
14;"Alfons2357";"Black";"Qe7";12;"0:09:06"
14;"Alfons2357";"Black";"exd3+";14;"0:09:10"
14;"Alfons2357";"Black";"dxc2";16;"0:09:21"
14;"Alfons2357";"Black";"Nf6";18;"0:09:28"
14;"Alfons2357";"Black";"Qb4+";20;"0:09:29"
18;"Alfons2357";"Black";"c6";2;"0:02:41"
18;"Alfons2357";"Black";"d5";4;"0:02:43"
18;"Alfons2357";"Black";"Bf5";6;"0:02:44"
18;"Alfons2357";"Black";"e6";8;"0:02:45"
18;"Alfons2357";"Black";"Ne7";10;"0:02:48"
18;"Alfons2357";"Black";"Qc7";12;"0:02:51"
18;"Alfons2357";"Black";"a6";14;"0:02:58"
18;"Alfons2357";"Black";"c5";16;"0:02:59"
18;"Alfons2357";"Black";"Nec6";18;"0:03:02"
18;"Alfons2357";"Black";"Bxc5";20;"0:03:05"
21;"Alfons2357";"Black";"c6";2;"0:09:34"
21;"Alfons2357";"Black";"Nf6";4;"0:09:44"
21;"Alfons2357";"Black";"d5";6;"0:09:46"
21;"Alfons2357";"Black";"Bg4";8;"0:09:56"
21;"Alfons2357";"Black";"e6";10;"0:09:58"
21;"Alfons2357";"Black";"Bf5";12;"0:10:00"
21;"Alfons2357";"Black";"Nbd7";14;"0:05:18"
21;"Alfons2357";"Black";"c5";16;"0:05:26"
21;"Alfons2357";"Black";"Bd6";18;"0:05:32"
21;"Alfons2357";"Black";"Bxe5";20;"0:05:37"
22;"Alfons2357";"Black";"c6";2;"0:08:36"
22;"Alfons2357";"Black";"Nf6";4;"0:08:52"
22;"Alfons2357";"Black";"Ne4";6;"0:09:05"
22;"Alfons2357";"Black";"Nxg5";8;"0:09:10"
22;"Alfons2357";"Black";"e5";10;"0:09:21"
22;"Alfons2357";"Black";"Qxg5";12;"0:09:44"
22;"Alfons2357";"Black";"Bb4+";14;"0:09:50"
22;"Alfons2357";"Black";"cxd5";16;"0:09:59"
22;"Alfons2357";"Black";"O-O";18;"0:10:00"
22;"Alfons2357";"Black";"d6";20;"0:04:49"
23;"Alfons2357";"Black";"c6";2;"0:09:57"
23;"Alfons2357";"Black";"d5";4;"0:09:59"
23;"Alfons2357";"Black";"Nf6";6;"0:10:00"
23;"Alfons2357";"Black";"dxc4";8;"0:05:29"
23;"Alfons2357";"Black";"e6";10;"0:05:36"
23;"Alfons2357";"Black";"Nbd7";12;"0:05:40"
23;"Alfons2357";"Black";"b5";14;"0:05:41"
23;"Alfons2357";"Black";"bxc4";16;"0:05:42"
23;"Alfons2357";"Black";"Bb7";18;"0:05:45"
23;"Alfons2357";"Black";"c5";20;"0:05:47"
25;"Alfons2357";"Black";"c6";2;"0:00:32"
25;"Alfons2357";"Black";"d5";4;"0:00:36"
25;"Alfons2357";"Black";"Bg4";6;"0:00:38"
25;"Alfons2357";"Black";"dxe4";8;"0:00:40"
25;"Alfons2357";"Black";"Bxe2";10;"0:00:50"
25;"Alfons2357";"Black";"Qxd4";12;"0:00:53"
25;"Alfons2357";"Black";"Nf6";14;"0:01:05"
25;"Alfons2357";"Black";"Qb6";16;"0:01:08"
25;"Alfons2357";"Black";"Nbd7";18;"0:01:13"
25;"Alfons2357";"Black";"Qe3+";20;"0:01:19"
27;"Alfons2357";"Black";"c6";2;"0:00:07"
27;"Alfons2357";"Black";"d5";4;"0:00:10"
27;"Alfons2357";"Black";"g6";6;"0:00:11"
27;"Alfons2357";"Black";"Bf5";8;"0:00:11"
27;"Alfons2357";"Black";"e6";10;"0:00:16"
27;"Alfons2357";"Black";"b6";12;"0:00:17"
27;"Alfons2357";"Black";"f6";14;"0:00:18"
27;"Alfons2357";"Black";"hxg6";16;"0:00:19"
27;"Alfons2357";"Black";"Nd7";18;"0:00:28"
27;"Alfons2357";"Black";"Ne7";20;"0:00:31"
